z1,n1,z2,n2,z3,n3,oneMinusR,C,W
2,2,2,3,5,6,0.012099265595,33,57
2,2,2,3,5,7,0.0112433459584,35,61
2,2,2,4,5,6,0.00976156327077,36,64
2,3,2,3,5,5,0.00737095503056,37,59
2,3,2,3,5,6,0.00475798490817,39,63
2,3,2,3,5,7,0.00389570476777,41,67
2,3,2,4,5,6,0.00240291066755,42,70
2,3,2,4,5,7,0.00153859008502,44,74
2,3,2,5,5,7,0.00120859402944,47,81
2,4,2,4,5,7,0.000875737550803,50,80
2,4,2,5,5,7,0.000545522419429,53,87
2,1,3,3,1,1,0.1499872,22,21
2,1,3,4,1,1,0.13347616,24,24
2,2,3,3,1,1,0.073486048,28,27
2,2,3,5,1,2,0.0120935004928,42,39
2,3,3,5,1,2,0.00475217696435,48,45
2,3,3,6,1,2,0.00305513660931,50,48
2,3,3,7,1,2,0.00254602450279,52,51
2,4,3,7,1,3,0.000348277456171,68,63
2,4,3,7,2,4,0.000430664027367,62,77
2,1,3,1,3,1,0.54136,12,11
2,1,3,1,3,2,0.4129408,16,13
2,1,3,2,3,1,0.403768,14,14
2,1,3,2,3,2,0.23682304,18,16
2,1,3,2,3,3,0.1900784512,22,18
2,1,3,3,3,1,0.3624904,16,17
2,1,3,3,3,2,0.183987712,20,19
2,1,3,3,3,3,0.13400695936,24,21
2,2,3,3,3,2,0.11054660608,26,25
2,2,3,3,3,3,0.0560675857024,30,27
2,2,3,4,3,3,0.0377322078707,32,30
2,2,3,4,3,4,0.0221817790038,36,32
2,2,3,4,3,5,0.0178276589211,40,34
2,2,3,5,3,3,0.0322315945212,34,33
2,2,3,5,3,4,0.0165922747059,38,35
2,2,3,5,3,5,0.0122132651577,42,37
2,2,3,6,3,4,0.0149154234166,40,38
2,3,3,5,3,4,0.00928438243541,44,41
2,3,3,5,3,5,0.00487283162351,48,43
2,3,3,6,3,4,0.00759507014105,46,44
2,3,3,6,3,5,0.00317599700198,50,46
2,3,3,6,3,6,0.00193865652303,54,48
2,3,3,6,3,7,0.00159220118893,58,50
2,3,3,7,3,5,0.00266694661551,52,49
2,3,3,7,3,6,0.00142897426109,56,51
2,3,3,7,3,7,0.00108234200185,60,53
2,4,3,7,3,6,0.000766048955775,62,57
2,4,3,7,3,7,0.000419186576404,66,59
2,1,3,1,4,1,0.54773,11,13
2,1,3,2,4,1,0.412049,13,16
2,1,3,2,4,2,0.24154321,16,20
2,1,3,3,4,2,0.189034663,18,23
2,1,3,3,4,3,0.13616475227,21,27
2,2,3,4,4,4,0.0230930845251,32,40
2,2,3,5,4,4,0.0175087895248,34,43
2,2,3,5,4,5,0.0125398740322,37,47
2,3,3,6,4,6,0.00205142494371,48,60
2,4,3,7,4,7,0.000456745373535,59,73
2,1,3,1,5,1,0.57321,10,13
2,1,3,1,5,2,0.4323693,12,17
2,1,3,2,5,2,0.26208009,14,20
2,1,3,2,5,3,0.2016594297,16,24
2,1,3,3,5,2,0.210993327,16,23
2,1,3,3,5,3,0.14638969791,18,27
2,1,3,3,5,4,0.12507050031,20,31
2,1,3,4,5,3,0.129808778373,20,30
2,1,3,4,5,4,0.108075466863,22,34
2,2,3,3,5,3,0.0695647707219,24,33
2,2,3,3,5,4,0.0463268453382,26,37
2,2,3,4,5,4,0.0278022588808,28,40
2,2,3,4,5,5,0.0199847867307,30,44
2,2,3,5,5,4,0.0222448829435,30,43
2,2,3,5,5,5,0.0143827237614,32,47
2,2,3,5,5,6,0.0117882112313,34,51
2,2,3,6,5,5,0.0127021048706,34,50
2,2,3,6,5,6,0.0101031683243,36,54
2,3,3,5,5,5,0.00705841189207,38,53
2,3,3,5,5,6,0.00444461903948,40,57
2,3,3,6,5,6,0.00274705425404,42,60
2,3,3,6,5,7,0.00188303183836,44,64
2,3,3,7,5,6,0.00223778481841,44,63
2,3,3,7,5,7,0.00137332117043,46,67
2,4,3,6,5,7,0.00122040797005,50,70
2,4,3,7,5,7,0.000710358918483,52,73
3,1,1,1,1,1,0.171232,28,15
3,2,1,1,1,1,0.08006752,34,19
3,2,1,1,1,2,0.0432702208,44,25
3,2,1,2,1,2,0.014568327424,56,30
3,3,1,2,1,2,0.00382623441664,62,34
3,4,1,2,1,2,0.00264460418583,68,38
3,4,1,2,1,3,0.00111021126919,78,44
3,4,1,3,1,3,0.000237394948943,90,49
3,5,1,3,1,3,0.000107101906464,96,53
3,5,1,3,1,4,4.56645548144e-05,106,59
3,5,1,4,1,3,8.09140043893e-05,108,58
3,5,1,4,1,4,1.94750436523e-05,118,64
3,6,1,3,1,3,9.27696717909e-05,102,57
3,6,1,3,1,4,3.13314395127e-05,112,63
3,6,1,4,1,4,5.14155295617e-06,124,68
3,6,1,4,1,5,2.6839593007e-06,134,74
3,7,1,4,1,4,3.56486897957e-06,130,72
3,7,1,4,1,5,1.1072714492e-06,140,78
3,7,1,4,1,6,1.00896754796e-06,150,84
3,7,1,5,1,5,3.21571682838e-07,152,83
3,7,1,5,1,6,2.23267704325e-07,162,89
3,7,1,5,1,7,2.19335545282e-07,172,95
3,7,1,6,1,5,2.98000689902e-07,164,88
3,7,1,6,1,6,1.99696709058e-07,174,94
3,5,1,3,2,5,5.92090709575e-05,96,75
3,5,1,4,2,5,3.30199145357e-05,108,80
3,6,1,3,2,5,4.48761497998e-05,102,79
3,6,1,4,2,5,1.86866179888e-05,114,84
3,6,1,4,2,6,4.35311599167e-06,120,92
3,7,1,4,2,6,2.77643077184e-06,126,96
3,7,1,4,2,7,1.19974306623e-06,132,104
3,7,1,5,2,7,4.14043372476e-07,144,109
3,1,1,1,3,1,0.378424,22,11
3,1,1,1,3,2,0.20438272,26,13
3,1,1,1,3,3,0.1556511616,30,15
3,2,1,1,3,2,0.1168648192,32,17
3,2,1,1,3,3,0.062772789376,36,19
3,2,1,1,3,4,0.0476270210253,40,21
3,2,1,1,3,5,0.0433862058871,44,23
3,2,1,2,3,3,0.0346559730573,48,24
3,2,1,2,3,4,0.019055831656,52,26
3,2,1,2,3,5,0.0146877920637,56,28
3,3,1,1,3,4,0.0372452975608,46,25
3,3,1,1,3,5,0.032958253717,50,27
3,3,1,2,3,4,0.0083626564876,58,30
3,3,1,2,3,5,0.00394700132853,62,32
3,3,1,2,3,6,0.00271061788399,66,34
3,3,1,2,3,7,0.00236443051952,70,36
3,4,1,2,3,6,0.00152766434367,72,38
3,4,1,2,3,7,0.00118106634255,76,40
3,4,1,3,3,6,0.000655212788237,84,43
3,4,1,3,3,7,0.000308311934496,88,45
3,5,1,2,3,7,0.00105089628308,82,44
3,5,1,3,3,7,0.000178028134201,94,49
3,1,1,1,4,1,0.387057,21,13
3,5,1,3,4,7,0.000215595992751,87,63
3,2,2,2,1,1,0.0702043264,28,28
3,3,2,3,1,2,0.00566483357962,47,45
3,4,2,5,1,3,0.000264171713909,69,69
3,4,2,6,1,3,0.000217928581541,72,76
3,5,2,5,1,3,0.000133882161084,75,73
3,5,2,5,1,4,7.24464549193e-05,85,79
3,5,2,6,1,3,8.76330021272e-05,78,80
3,5,2,6,1,4,2.61944542318e-05,88,86
3,5,2,7,1,3,8.11581198731e-05,81,87
3,5,2,7,1,4,1.97191741355e-05,91,93
3,6,2,5,1,3,0.000119550310274,81,77
3,6,2,5,1,4,5.81137235033e-05,91,83
3,6,2,6,1,3,7.33004883916e-05,84,84
3,6,2,6,1,4,1.18610598503e-05,94,90
3,6,2,6,1,5,9.40348270861e-06,104,96
3,6,2,7,1,4,5.38568693875e-06,97,97
3,6,2,7,1,5,2.92809388325e-06,107,103
3,7,2,6,1,4,1.02843864682e-05,100,94
3,7,2,7,1,4,3.80900334718e-06,103,101
3,7,2,7,1,5,1.35140641677e-06,113,107
3,7,2,7,1,6,1.25310253951e-06,123,113
3,4,2,5,2,4,0.000346565216702,63,83
3,5,2,5,2,5,8.59906082979e-05,75,95
3,5,2,6,2,5,3.97392341001e-05,78,102
3,5,2,7,2,5,3.32640417122e-05,81,109
3,6,2,6,2,5,2.54060338662e-05,84,106
3,6,2,6,2,6,1.10726281836e-05,90,114
3,6,2,7,2,5,1.89307486645e-05,87,113
3,6,2,7,2,6,4.59725016666e-06,93,121
3,6,2,7,2,7,3.02056533186e-06,99,129
3,7,2,6,2,6,9.49595355848e-06,96,118
3,7,2,7,2,6,3.02056533197e-06,99,125
3,7,2,7,2,7,1.44387801126e-06,105,133
3,1,2,1,3,1,0.448912,13,13
3,1,2,1,3,2,0.29460736,17,15
3,2,2,2,3,2,0.107396153344,26,26
3,2,2,2,3,3,0.0527241677363,30,28
3,2,2,3,3,3,0.0364376709711,33,35
3,2,2,3,3,4,0.0208663221439,37,37
3,3,2,3,3,4,0.0101928829529,43,41
3,3,2,3,3,5,0.00578537759672,47,43
3,4,2,4,3,6,0.0010121484097,60,56
3,4,2,4,3,7,0.000665371458413,64,58
3,4,2,5,3,6,0.000681978362737,63,63
3,4,2,5,3,7,0.000335086800084,67,65
3,5,2,5,3,7,0.000204806489196,73,69
3,4,2,4,4,7,0.000702921005258,57,72
3,4,2,5,4,7,0.000372648757226,60,79
3,4,2,6,4,7,0.000326410642501,63,86
3,5,2,5,4,7,0.000242373341561,66,83
3,1,2,1,5,1,0.487182,11,15
3,1,2,1,5,2,0.31795206,13,19
3,2,2,2,5,3,0.0662691599189,24,34
3,2,2,2,5,4,0.0429489255732,26,38
3,2,2,3,5,4,0.026494363241,29,45
3,2,2,3,5,5,0.0186663742615,31,49
3,3,2,3,5,5,0.00796895365663,37,53
3,3,2,3,5,6,0.00535755768981,39,57
3,4,2,4,5,7,0.000956472088202,50,72
3,4,2,5,5,7,0.000626283639961,53,79
3,4,2,6,5,7,0.000580057257207,56,86
3,1,3,1,1,1,0.40192,18,13
3,1,3,2,1,1,0.222496,20,16
3,1,3,3,1,1,0.1686688,22,19
3,2,3,2,1,1,0.13697056,26,20
3,2,3,3,1,1,0.077222368,28,23
3,2,3,4,1,1,0.0592979104,30,26
3,3,3,5,1,2,0.00535175324493,48,39
3,3,3,6,1,2,0.00365573525348,50,42
3,3,3,7,1,2,0.00314692985604,52,45
3,4,3,7,1,3,0.000429054615142,68,55
3,5,3,7,1,3,0.000298786550514,74,59
3,5,3,7,1,4,0.000237360976723,84,65
3,6,3,7,1,3,0.000284457063404,80,63
3,4,3,7,2,4,0.000511434529066,62,69
3,1,3,1,3,1,0.55144,12,9
3,1,3,1,3,2,0.4258432,16,11
3,1,3,1,3,3,0.390676096,20,13
3,1,3,2,3,1,0.416872,14,12
3,1,3,2,3,2,0.25359616,18,14
3,1,3,2,3,3,0.2078789248,22,16
3,1,3,3,3,1,0.3765016,16,15
3,1,3,3,3,2,0.201922048,20,17
3,1,3,3,3,3,0.15303977344,24,19
3,2,3,2,3,2,0.1714917376,24,18
3,2,3,2,3,3,0.120745606528,28,20
3,2,3,2,3,4,0.106536689828,32,22
3,2,3,3,3,2,0.11413347328,26,21
3,2,3,3,3,3,0.0598741485184,30,23
3,2,3,3,3,4,0.0446815375852,34,25
3,2,3,3,3,5,0.0404276065238,38,27
3,2,3,4,3,3,0.0416127111155,32,26
3,2,3,4,3,4,0.0261249919123,36,28
3,2,3,4,3,5,0.0217884305355,40,30
3,2,3,5,3,3,0.0361342798947,34,29
3,2,3,5,3,4,0.0205580282105,38,31
3,3,3,4,3,4,0.0155088769593,42,32
3,3,3,4,3,5,0.0111250431566,46,34
3,3,3,5,3,4,0.00988122833784,44,35
3,3,3,5,3,5,0.005472335217,48,37
3,3,3,5,3,6,0.00423784514316,52,39
3,3,3,6,3,4,0.0081929337514,46,38
3,3,3,6,3,5,0.00377652283511,50,40
3,3,3,6,3,6,0.00253992777855,54,42
3,3,3,6,3,7,0.00219368116271,58,44
3,3,3,7,3,5,0.00326777912055,52,43
3,3,3,7,3,6,0.00203055256917,56,45
3,4,3,6,3,6,0.00135677177095,60,46
3,4,3,6,3,7,0.00101011444819,64,48
3,4,3,7,3,6,0.000846792356594,62,49
3,4,3,7,3,7,0.000499958005542,66,51
3,5,3,7,3,7,0.000369699181326,72,55
3,1,3,1,4,1,0.55767,11,11
3,1,3,2,4,1,0.424971,13,14
3,1,3,2,4,2,0.25821259,16,18
3,1,3,3,4,2,0.206858077,18,21
3,1,3,3,4,3,0.15515014233,21,25
3,2,3,3,4,2,0.11961246547,24,25
3,2,3,3,4,3,0.0622166579863,27,29
3,2,3,4,4,2,0.102511412641,26,28
3,2,3,4,4,3,0.0440007225659,29,32
3,2,3,4,4,4,0.0270326224441,32,36
3,2,3,5,4,3,0.0385359419398,31,35
3,2,3,5,4,4,0.0214708470325,34,39
3,2,3,6,4,4,0.0198023144091,36,42
3,3,3,4,4,4,0.0164264014816,38,40
3,3,3,5,4,4,0.0108039977074,40,43
3,3,3,5,4,5,0.00580117296084,43,47
3,3,3,6,4,4,0.00911727657514,42,46
3,3,3,6,4,5,0.0041059212945,45,50
3,3,3,6,4,6,0.00265262826312,48,54
3,3,3,7,4,5,0.0035973457946,47,53
3,3,3,7,4,6,0.00214331060675,50,57
3,4,3,6,4,6,0.00146960593731,54,58
3,4,3,7,4,6,0.000959684144237,56,61
3,4,3,7,4,7,0.000537513767723,59,65
3,5,3,7,4,7,0.000407259837923,65,69
3,1,3,1,5,1,0.58259,10,11
3,1,3,1,5,2,0.4448447,12,15
3,1,3,2,5,1,0.457367,12,14
3,1,3,2,5,2,0.27829811,14,18
3,1,3,2,5,3,0.2192053763,16,22
3,1,3,3,5,2,0.228334133,16,21
3,1,3,3,5,3,0.16515036389,18,25
3,1,3,3,5,4,0.144299720084,20,29
3,2,3,2,5,3,0.133317967693,22,26
3,2,3,3,5,2,0.14345088763,22,25
3,2,3,3,5,3,0.0733169039179,24,29
3,2,3,3,5,4,0.0501726892929,26,33
3,2,3,4,5,3,0.0553165847854,26,32
3,2,3,4,5,4,0.0317228062792,28,36
3,2,3,4,5,5,0.0239368593721,30,40
3,2,3,5,5,3,0.0499164890456,28,35
3,2,3,5,5,4,0.0261878413751,30,39
3,2,3,5,5,5,0.0183573876438,32,43
3,2,3,6,5,5,0.0166835461253,34,46
3,3,3,4,5,4,0.0211677125458,34,40
3,3,3,4,5,5,0.0132968918031,36,44
3,3,3,5,5,4,0.0155724115378,36,43
3,3,3,5,5,5,0.00765659880637,38,47
3,3,3,5,5,6,0.005044380605,40,51
3,3,3,6,5,5,0.00596451090735,40,50
3,3,3,6,5,6,0.00334783849909,42,54
3,3,3,6,5,7,0.00248433660437,44,58
3,3,3,7,5,6,0.00283887586732,44,57
3,3,3,7,5,7,0.00197493300612,46,61
3,4,3,6,5,6,0.00216564080998,48,58
3,4,3,6,5,7,0.00130111465626,50,62
3,4,3,7,5,6,0.00165607446262,50,61
3,4,3,7,5,7,0.000791106819352,52,65
3,5,3,7,5,7,0.000660885938808,58,69
4,7,2,5,1,3,0.000178806925519,66,102
4,7,2,6,1,3,0.000132559844573,69,109
4,7,2,5,2,5,0.000130917524538,66,124
4,7,2,6,2,5,8.46682284499e-05,69,131
4,7,2,6,2,6,7.03356722179e-05,75,139
4,7,2,7,2,5,7.81933269975e-05,72,138
4,6,2,5,4,7,0.000470357268533,54,105
4,7,2,5,4,7,0.000287293231403,57,112
4,7,2,6,4,7,0.000241051168528,60,119
4,2,2,1,5,2,0.281550625,13,29
4,2,2,2,5,3,0.113905595125,18,40
4,2,2,2,5,4,0.0917750963912,20,44
4,3,2,2,5,3,0.0696008748812,21,47
4,3,2,2,5,4,0.0463638512108,23,51
4,3,2,3,5,4,0.0299680016351,26,58
4,4,2,3,5,5,0.0105270864835,31,69
4,4,2,3,5,6,0.00792242447706,33,73
4,5,2,3,5,6,0.00500454925494,36,80
4,5,2,4,5,6,0.00265005846773,39,87
4,5,2,4,5,7,0.00178595201466,41,91
4,6,2,4,5,7,0.00105412353374,44,98
4,6,2,5,5,7,0.000723967359743,47,105
4,2,3,3,1,1,0.1243,22,29
4,1,3,1,3,1,0.622,9,12
4,1,3,2,3,2,0.371008,15,17
4,1,3,1,4,1,0.62725,8,14
4,1,3,2,4,1,0.515425,10,17
4,2,3,3,4,3,0.110059840938,21,35
4,2,3,4,4,3,0.0927732335312,23,38
4,7,3,7,4,7,0.000452172319286,56,98
4,1,3,1,5,1,0.64825,7,14
4,1,3,1,5,2,0.5321725,9,18
4,1,3,2,5,1,0.542725,9,17
4,1,3,2,5,2,0.39182425,11,21
4,2,3,2,5,2,0.2397803125,14,28
4,2,3,2,5,3,0.177533753125,16,32
4,2,3,3,5,2,0.18714971875,16,31
4,2,3,3,5,3,0.120593782188,18,35
4,2,3,3,5,4,0.0986303231219,20,39
4,2,3,4,5,3,0.103511790906,20,38
4,3,3,3,5,3,0.0766234712969,21,42
4,3,3,3,5,4,0.053561839278,23,46
4,3,3,4,5,3,0.0586873804516,23,45
4,3,3,4,5,4,0.035177788674,25,49
4,3,3,4,5,5,0.0274196233874,27,53
4,3,3,5,5,3,0.053306553198,25,48
4,3,3,5,5,4,0.0296625734928,27,52
4,3,3,5,5,5,0.0218600601901,29,56
4,4,3,4,5,4,0.0236918099678,28,56
4,4,3,4,5,5,0.0158412855706,30,60
4,4,3,5,5,4,0.018110937463,30,59
4,4,3,5,5,5,0.0102155370972,32,63
4,4,3,5,5,6,0.00761005497644,34,67
4,4,3,6,5,5,0.00852781255512,34,66
4,4,3,6,5,6,0.0059178877135,36,70
4,4,3,7,5,6,0.00541023753462,38,73
4,5,3,5,5,5,0.00730440632392,35,70
4,5,3,5,5,6,0.00469126102049,37,74
4,5,3,6,5,5,0.00561171788617,37,73
4,5,3,6,5,6,0.00299411679501,39,77
4,5,3,6,5,7,0.00213030843493,41,81
4,5,3,7,5,6,0.00248497352737,41,80
4,5,3,7,5,7,0.00162072404431,43,84
4,6,3,6,5,7,0.00139873241472,44,88
4,6,3,7,5,7,0.000888774428503,46,91
4,7,3,7,5,7,0.000705787024552,49,98
5,7,2,5,1,3,0.000252692351216,59,109
5,7,2,6,1,3,0.000206448687866,62,116
5,7,2,7,1,3,0.000199974574997,65,123
5,7,2,5,2,4,0.000335086800084,53,123
5,7,2,5,2,5,0.000204806489196,59,131
5,7,2,6,2,4,0.000288846947918,56,130
5,7,2,6,2,5,0.000158560610868,62,138
5,7,2,7,2,5,0.000152086187902,65,145
5,3,2,2,3,3,0.062171036346,24,44
5,7,2,5,3,7,0.000323608251666,57,105
5,6,2,4,4,7,0.00103821458344,45,104
5,6,2,5,4,7,0.000708053151465,48,111
5,7,2,4,4,7,0.000691446680458,47,112
5,7,2,5,4,7,0.000361170640109,50,119
5,7,2,6,4,7,0.00031493199446,53,126
5,1,2,1,5,1,0.585136,7,19
5,1,2,1,5,2,0.44823088,9,23
5,2,2,1,5,2,0.2937355264,11,31
5,2,2,1,5,3,0.235906803712,13,35
5,2,2,2,5,3,0.128933756232,16,42
5,3,2,1,5,3,0.189106095439,15,43
5,3,2,2,5,3,0.0755809488009,18,50
5,3,2,2,5,4,0.0524932794403,20,54
5,3,2,3,5,4,0.0362028130166,23,61
5,4,2,2,5,4,0.0371813922718,22,62
5,4,2,3,5,4,0.0206276688406,25,69
5,4,2,3,5,5,0.0127525055898,27,73
5,4,2,3,5,6,0.010153701717,29,77
5,5,2,3,5,5,0.00835639795982,29,81
5,5,2,3,5,6,0.005746021891,31,85
5,5,2,3,5,7,0.00488459778829,33,89
5,5,2,4,5,6,0.00339328567513,34,92
5,6,2,3,5,6,0.00451187153972,33,93
5,6,2,4,5,6,0.00215621491287,36,100
5,6,2,4,5,7,0.00129168059253,38,104
5,6,2,5,5,7,0.000961602932233,41,111
5,7,2,4,5,7,0.000945000674776,40,112
5,7,2,5,5,7,0.00061480843518,43,119
5,7,2,6,5,7,0.000568581521637,46,126
5,3,3,3,1,1,0.08642492416,22,39
5,7,3,7,1,3,0.0004175771457,58,95
5,7,3,7,2,4,0.000499958005542,52,109
5,1,3,1,3,1,0.63712,8,13
5,1,3,2,3,1,0.528256,10,16
5,7,3,7,3,7,0.00048848135024,56,91
5,1,3,1,4,1,0.64216,7,15
5,2,3,2,4,2,0.2318749696,14,30
5,3,3,3,4,3,0.0715688611299,21,45
5,3,3,4,4,3,0.0535345872094,23,48
5,4,3,4,4,4,0.0211691717869,28,60
5,4,3,5,4,4,0.0155738791204,30,63
5,5,3,5,4,5,0.00618946390515,35,75
5,5,3,6,4,5,0.00449487433059,37,78
5,6,3,6,4,6,0.00180464227014,42,90
5,6,3,7,4,6,0.00129489157083,44,93
5,6,3,7,4,7,0.000872862844899,47,97
5,7,3,7,4,7,0.000526037543651,49,105
5,1,3,1,5,1,0.66232,6,15
5,1,3,1,5,2,0.5508856,8,19
5,1,3,2,5,1,0.561016,8,18
5,1,3,2,5,2,0.41615128,10,22
5,1,3,2,5,3,0.3683459224,12,26
5,1,3,3,5,2,0.375730984,12,25
5,2,3,2,5,2,0.2526736384,12,30
5,2,3,2,5,3,0.191482780672,14,34
5,2,3,3,5,2,0.20093565952,14,33
5,2,3,3,5,3,0.135508511642,16,37
5,3,3,3,5,3,0.0825584079796,18,45
5,3,3,3,5,4,0.0596450029533,20,49
5,3,3,4,5,3,0.0647376000771,20,48
5,3,3,4,5,4,0.0413791145214,22,52
5,3,3,4,5,5,0.0336708142881,24,56
5,3,3,5,5,3,0.0593913577063,22,51
5,3,3,5,5,4,0.0358993479919,24,55
5,3,3,5,5,5,0.0281469847861,26,59
5,4,3,4,5,4,0.0258876203533,24,60
5,4,3,4,5,5,0.0180547525355,26,64
5,4,3,5,5,4,0.0203192997639,26,63
5,4,3,5,5,5,0.0124416569078,28,67
5,4,3,5,5,6,0.00984203476522,30,71
5,4,3,6,5,5,0.0107577282194,30,70
5,4,3,6,5,6,0.00815367334812,32,74
5,5,3,5,5,5,0.00804416510181,30,75
5,5,3,5,5,6,0.00543296711958,32,79
5,5,3,6,5,5,0.00635273805894,32,78
5,5,3,6,5,6,0.00373708760944,34,82
5,5,3,6,5,7,0.00287392296111,36,86
5,5,3,7,5,6,0.0032283237564,36,85
5,5,3,7,5,7,0.00236471831381,38,89
5,6,3,6,5,6,0.00250044360262,36,90
5,6,3,6,5,7,0.00163620752286,38,94
5,6,3,7,5,6,0.00199104822976,38,93
5,6,3,7,5,7,0.0011263708086,40,97
5,7,3,7,5,7,0.000779633507137,42,105
